service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20200619,20200816
2,0,0,0,0,0,0,0,20200622,20200814
3,0,0,0,0,0,0,0,20200619,20200815
4,0,0,0,0,0,0,0,20200618,20200816
5,0,0,0,0,0,0,0,20200618,20200816
6,0,0,0,0,0,0,0,20200619,20200816
7,0,0,0,0,0,0,0,20200618,20200618
8,0,0,0,0,0,0,0,20200619,20200816
9,0,0,0,0,0,0,0,20200704,20200726
10,0,0,0,0,0,0,0,20200619,20200815
11,0,0,0,0,0,0,0,20200619,20200816
12,0,0,0,0,0,0,0,20200705,20200726
13,0,0,0,0,0,0,0,20200619,20200816
14,0,0,0,0,0,0,0,20200621,20200816
15,0,0,0,0,0,0,0,20200705,20200727
16,0,0,0,0,0,0,0,20200619,20200815
17,0,0,0,0,0,0,0,20200619,20200815
18,0,0,0,0,0,0,0,20200706,20200724
19,0,0,0,0,0,0,0,20200622,20200814
20,0,0,0,0,0,0,0,20200618,20200814
21,0,0,0,0,0,0,0,20200620,20200816
22,0,0,0,0,0,0,0,20200619,20200815
23,0,0,0,0,0,0,0,20200619,20200815
24,0,0,0,0,0,0,0,20200626,20200814
25,0,0,0,0,0,0,0,20200618,20200813
26,0,0,0,0,0,0,0,20200621,20200816
27,0,0,0,0,0,0,0,20200618,20200815
28,0,0,0,0,0,0,0,20200620,20200620
29,0,0,0,0,0,0,0,20200619,20200815
30,0,0,0,0,0,0,0,20200619,20200619
31,0,0,0,0,0,0,0,20200618,20200815
32,0,0,0,0,0,0,0,20200618,20200816
33,0,0,0,0,0,0,0,20200622,20200626
34,0,0,0,0,0,0,0,20200620,20200816
35,0,0,0,0,0,0,0,20200619,20200621
36,0,0,0,0,0,0,0,20200620,20200816
37,0,0,0,0,0,0,0,20200618,20200816
38,0,0,0,0,0,0,0,20200619,20200815
39,0,0,0,0,0,0,0,20200620,20200816
